server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;18.0;2;1;18.0;16.0
2;2;2.0;30.0;3;17;29.0;28.0
3;2;2.0;20.0;1;19;18.0;18.0
4;2;2.0;19.0;0;11;16.0;17.0
5;6;6.0;30.0;9;20;22.0;24.0
7;6;6.0;36.0;5;24;29.0;30.0
8;6;6.0;30.0;8;24;23.0;24.0
9;6;6.0;21.0;6;3;16.0;15.0
10;6;6.0;27.0;4;19;21.0;21.0
11;6;6.0;23.0;7;14;17.0;17.0
18;8;8.0;32.0;10;21;25.0;24.0
19;8;8.0;27.0;11;16;22.0;19.0
13;9;9.0;18.0;15;12;10.0;9.0
15;9;9.0;20.0;12;20;8.0;11.0
17;10;10.524761155076659;34.52476115507666;17;10;23.0;24.0
6;13;13.76861988968991;20.76861988968991;20;1;7.0;6.999999999999998
16;9;13.930617779462054;28.930617779462054;14;12;15.0;15.0
1;10;14.814468935605305;15.814468935605305;18;0;2.0;1.0
14;15;15.345715519426005;33.34571551942601;22;22;17.0;18.000000000000004
1;9;15.814468935605305;27.814468935605305;16;26;15.0;12.0
12;9;16.580387345550673;24.580387345550673;13;8;11.0;8.0
13;17;18.0;21.0;25;25;2.0;3.0
0;16;18.0;22.0;24;0;5.0;4.0
4;16;19.0;38.0;23;3;22.0;19.0
15;15;20.0;45.0;21;11;25.0;25.0
6;21;21.0;23.0;26;28;2.0;2.0
13;21;21.0;49.0;28;8;28.0;28.0
9;21;21.0;27.0;27;7;5.0;6.0
3;22;22.0;44.0;29;21;21.0;22.0
0;22;22.0;49.0;30;17;29.0;27.0
6;23;23.0;32.0;34;10;8.0;9.0
11;23;23.0;27.0;33;21;3.0;4.0
12;23;24.580387345550673;53.580387345550676;35;12;27.0;29.000000000000004
19;23;27.0;43.0;37;5;14.0;16.0
9;26;27.0;57.0;40;19;29.0;30.0
10;23;27.0;52.0;31;16;24.0;25.0
11;23;27.0;38.0;32;28;9.0;11.0
1;23;27.814468935605305;40.814468935605305;36;1;15.0;13.0
16;26;28.930617779462054;34.930617779462054;41;2;6.0;6.0
8;28;30.0;37.0;45;15;5.0;7.0
5;28;30.0;44.0;44;26;15.0;14.0
2;28;30.0;38.0;42;20;10.0;8.0
6;31;32.0;53.0;47;21;22.0;21.0
18;32;32.0;59.0;48;19;28.0;27.0
14;26;33.34571551942601;60.34571551942601;39;13;26.0;27.0
17;33;34.52476115507666;54.52476115507666;50;28;19.0;20.0
16;31;34.930617779462054;46.930617779462054;46;9;11.0;12.0
7;36;36.0;56.0;53;6;20.0;20.0
8;33;37.0;44.0;49;27;7.0;7.0
11;36;38.0;53.0;55;23;16.0;15.0
2;35;38.0;48.0;52;27;8.0;10.0
4;26;38.0;56.0;38;20;17.0;18.0
1;36;40.814468935605305;44.814468935605305;56;10;4.0;4.0
19;40;43.0;54.0;60;19;11.0;11.0
8;40;44.0;70.0;61;24;23.0;26.0
5;33;44.0;56.0;51;3;13.0;12.0
3;40;44.0;53.0;59;29;9.0;9.0
1;39;44.814468935605305;58.814468935605305;58;7;10.0;14.0
15;45;45.0;75.0;64;12;29.0;30.0
16;37;46.930617779462054;58.930617779462054;57;9;11.0;12.0
2;45;48.0;59.0;65;20;10.0;11.0
13;48;49.0;62.0;76;2;14.0;13.0
10;51;52.0;75.0;91;25;22.0;23.0
6;48;53.0;76.0;73;7;27.0;23.0
3;49;53.0;72.0;83;3;18.0;19.0
12;47;53.580387345550676;60.580387345550676;67;11;5.0;7.0
19;52;54.0;57.0;97;7;3.0;3.0
