server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;5.0;0;25;3.0;3.0
2;2;2.0;24.0;1;26;23.0;22.0
3;4;4.0;20.0;2;8;18.0;16.0
4;6;6.0;16.0;6;6;10.0;10.0
6;6;6.0;20.0;3;4;14.0;14.0
8;6;6.0;9.0;4;16;3.0;3.0
10;6;6.0;29.0;5;12;24.0;23.0
18;7;7.0;12.0;7;16;7.0;5.0
13;7;7.0;23.0;8;27;16.0;16.0
15;9;9.0;28.0;9;27;20.0;19.0
8;9;9.0;12.0;11;17;2.0;3.0
1;9;9.0;10.0;10;9;2.0;1.0
0;9;9.428927397372409;21.42892739737241;12;14;14.0;12.0
1;10;10.0;37.0;15;20;26.0;27.0
12;10;10.023704027247545;33.02370402724755;14;7;23.0;23.0
18;12;12.0;32.0;19;23;23.0;20.0
8;9;12.0;20.0;13;25;9.0;8.0
19;10;12.406885989958178;37.40688598995818;16;6;26.0;25.0
9;12;13.063266688793767;39.06326668879377;17;9;26.0;26.0
7;15;15.375828511321776;36.37582851132178;27;21;22.0;21.0
11;15;15.449983353441228;33.449983353441226;25;4;18.0;18.0
4;16;16.0;42.0;31;8;25.0;26.0
16;15;16.121247240070822;41.12124724007082;24;13;21.0;25.0
17;14;18.411365605078593;36.41136560507859;22;4;18.0;18.0
8;20;20.0;34.0;36;14;13.0;14.0
6;20;20.0;41.0;35;28;22.0;21.0
3;14;20.0;39.0;20;8;18.0;19.0
0;21;21.42892739737241;48.428927397372405;40;1;26.0;26.999999999999996
14;21;21.732528395366835;39.732528395366835;43;28;18.0;18.0
13;14;23.0;43.0;21;20;18.0;20.0
5;14;23.89635293971274;29.89635293971274;23;20;5.0;6.0
2;15;24.0;50.0;26;9;27.0;26.0
15;15;28.0;55.0;28;28;28.0;27.0
10;16;29.0;52.0;30;28;28.0;23.0
5;17;29.89635293971274;36.89635293971274;34;23;12.0;7.0
18;30;32.0;41.0;49;17;9.0;9.0
12;32;33.02370402724755;53.02370402724755;52;16;19.0;20.0
11;21;33.449983353441226;57.449983353441226;37;9;23.0;24.0
8;21;34.0;35.0;38;17;2.0;1.0
8;21;35.0;46.0;39;25;9.0;11.0
7;21;36.37582851132178;63.37582851132178;41;5;26.0;27.0
17;24;36.41136560507859;61.41136560507859;44;10;25.0;25.0
5;24;36.89635293971274;49.89635293971274;45;16;14.0;13.0
1;24;37.0;43.0;46;22;6.0;6.0
19;26;37.40688598995818;51.40688598995818;47;2;13.0;14.0
3;38;39.0;66.0;59;3;27.0;27.0
9;32;39.06326668879377;64.06326668879376;51;1;25.0;24.999999999999993
14;35;39.732528395366835;55.732528395366835;53;21;14.0;16.0
6;40;41.0;56.0;63;3;16.0;15.0
16;35;41.12124724007082;66.12124724007083;54;23;25.0;25.000000000000007
13;43;43.0;60.0;68;7;16.0;17.0
1;35;43.0;69.0;55;20;26.0;26.0
8;38;46.0;73.0;57;5;27.0;27.0
0;48;48.428927397372405;71.4289273973724;78;22;22.0;23.0
5;48;49.89635293971274;68.89635293971274;74;11;20.0;19.0
2;38;50.0;70.0;58;17;22.0;20.0
19;51;51.40688598995818;55.40688598995818;81;22;5.0;4.0
10;40;52.0;76.0;60;0;24.0;24.0
12;53;53.02370402724755;62.02370402724755;84;15;9.0;9.0
15;40;55.0;84.0;61;17;28.0;29.0
19;40;55.40688598995818;73.40688598995817;62;9;15.0;17.999999999999993
14;40;55.732528395366835;67.73252839536684;64;3;12.0;12.000000000000007
6;41;56.0;79.0;66;23;25.0;23.0
11;56;57.449983353441226;63.449983353441226;95;2;8.0;6.0
4;43;58.090318068570866;85.09031806857087;67;20;26.0;27.0
13;43;60.0;65.0;69;11;4.0;5.0
17;44;61.41136560507859;86.4113656050786;70;13;24.0;25.000000000000007
18;44;61.644186125074;70.644186125074;71;6;10.0;9.0
12;46;62.02370402724755;82.02370402724755;72;26;18.0;20.0
7;63;63.37582851132178;75.37582851132177;102;25;13.0;11.999999999999993
11;63;63.449983353441226;82.44998335344123;103;24;17.0;19.0
9;46;64.06326668879376;82.06326668879376;73;21;19.0;18.0
13;48;65.0;73.0;75;24;6.0;8.0
3;48;66.0;87.0;76;14;21.0;21.0
16;50;66.12124724007083;73.12124724007083;79;24;8.0;7.0
14;67;67.73252839536684;95.73252839536684;106;13;27.0;28.0
5;51;68.89635293971274;85.89635293971274;80;22;18.0;17.0
1;69;69.0;94.0;112;27;25.0;25.0
2;69;70.0;77.0;107;23;9.0;7.0
18;69;70.644186125074;94.644186125074;110;23;23.0;24.0
0;53;71.4289273973724;83.4289273973724;82;0;13.0;12.0
